hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,essential_dental,provider_name,google_name,city,type,group_name,tel_no,area,location
H039,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic Hospitals L..LC.-Branch 2,Mediclinic Airport Road,ABU DHABI,HOSPITAL,MEDICLINIC - AL NOOR GROUP,02-4944820,AIRPORT ROAD,"Airport Road, P.O. Box: 48481"
M270,✔,✔,✔,✔,✔,✖,✖,✖,NMC ROYAL FAMILY MEDICAL CENTRE LTD (EX. NMC DAY SURGERY CENTER LLC),Nmc Royal Family Medical Centre,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-6911500,MOHAMMED BIN ZAYED CITY,"Prestige Tower, Sreet No. 79, Mohamed Bin Zated City, P.O. Box: 114621, Auh"
M584,✔,✔,✔,✔,✔,✖,✖,✖,NMC ROYAL HOSPITAL LLC,"Nmc Royal Hospital, Khalifa City, Abu Dhabi",ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-2035000,KHALIFA CITY,"Plot No. P-1, SE-4, 16th street, Zone 135, Khalifa City"
H002,✔,✔,✔,✔,✔,✖,✖,✖,NMC SPECIALTY HOSPITAL - AUH,Nmc Specialty Hospital Abu Dhabi,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-6179728,MADINAT ZAYED,"NMC Tower Building, Electra Street, P.O. Box: 46222"
OTH251,✔,✔,✔,✔,✔,✖,✖,✖,AL BAHRI DENTAL & ORTHODONTIC CENTER L.L.C – BRANCH,"Al Bahri Dental And Orthodontic Center, Abu Dhabi",ABU DHABI,MEDICAL CENTER,AL BAHRI DENTAL GROUP,02-5751856,KHALEEJ AL ARABI,"KHALEEJ AL ARABI ST., BLDG. 836, ABU DHABI, UAE"
OTH225,✔,✔,✔,✔,✔,✔,✖,✖,MAJESTIC DENTAL CENTER - SOLE PROPRIETORSHIP L.L.C.,Majestic Medical Center,ABU DHABI,MEDICAL CENTER,Trust Vision Investment L.L.C,02-6669161,Al Bateen,"Villa 24, Al Falah St, Al Bateen Area Abu Dhabi"
OTH238,✔,✔,✔,✔,✔,✖,✖,✖,SAMA TABRIZI DENTISTRY LLC BRANCH,Tabrizi Dentistry - Abu Dhabi,ABU DHABI,MEDICAL CENTER,TABRIZI DENTISTRY,02-5833328,MINISTRIES COMPLEX,"Zone 1, Ministries Complex, Abu Dhabi"
OTH239,✔,✔,✔,✔,✔,✖,✖,✖,TABRIZI EXPRESS DENTISTRY LLC,Tabrizi Dentistry - Main Branch - Al Ain,ABU DHABI,MEDICAL CENTER,TABRIZI DENTISTRY,055-5551117,AL MUWAIJI,"Al Muwaji, Oud Bin Saghan St., Abu Dhabi"
M481,✔,✔,✔,✔,✖,✖,✖,✖,ADVANCED CURE DIAGNOSTIC CENTRE LLC,Advance Cure Diagnostic Centre – Main,ABU DHABI,MEDICAL CENTER,-,02-4100900,AL BATEEN,"Al Bateen Area, Abu Dhabi"
A033,✔,✔,✔,✔,✔,✔,✖,✖,AILABOUNY MEDICAL CENTRE LLC,Ailabouny Medical Center,ABU DHABI,MEDICAL CENTER,-,02-6440125,AL SALAM,"Salam St., Kuwality Resraurant Bldg., P.O. Box: 4244"
M460,✔,✔,✖,✖,✖,✖,✖,✖,AL NOOR HOSPITAL MEDICAL CENTRE MARAWAH,Al Noor Hospital Medical Clinic,ABU DHABI,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,02-8092100,WESTERN REGION,"Village 1, Braka Nuclear Power Plant Western Region, Ruwais Abu Dhabi UAE,"
M448,✔,✔,✔,✔,✔,✖,✖,✖,Al Qabail Medical Centre LLC,Al Qabail Medical Center,ABU DHABI,MEDICAL CENTER,-,02-5575531,MUSAFFAH,"Shop 9&10, Al Jimi Workers Village, ICAD Road, Musaffah, Abu Dhabi, P.O. Box: 44850, Abu Dhabi"
M1041,✔,✔,✔,✔,✔,✔,✔,✔,BANIYAS MEDICAL CLINICS,Baniyas Medical Clinics مجمع بني ياس الطبي وطب الاسنان,ABU DHABI,MEDICAL CENTER,-,02-5831116,BAIYAS EAST 9,"BANIYAS CITY- EAST 9-BESIDE BANIYAS CO OPERATIVE, ABU DHABI - UAE"
M998,✔,✔,✔,✔,✔,✔,✖,✖,EMIRATES JORDANIAN MEDICAL CENTER,Dijla Medical Centre,ABU DHABI,MEDICAL CENTER,-,02-5866999,West Baniyas,"Emirates Jordanian Medical Center, Post Box No. 79814, Baniyas West, Beside Court, Baniyas, Abu Dhabi, UAE."
M711,✔,✔,✔,✔,✔,✔,✖,✖,GENET DENTAL CENTER L.L.C,Genet Dental Center,ABU DHABI,MEDICAL CENTER,-,02 6669945,MUROOR ROAD,"JUNAIBI TOWER 2ND FLOOR, OPPOSITE OF EMIRATES DISCOUNT MARKET,MUROOR ROAD, P.O. Box:72827,  ABU DHABI, UAE"
M1180,✔,✔,✔,✔,✔,✖,✖,✖,HADDAD MEDICAL & DENTAL CENTRE LLC,Haddad Medical & Dental Center - مركز حداد للطب والأسنان,ABU DHABI,MEDICAL CENTER,-,02-6325096,Hamdan Street,"Abu Dhabi Commercial Bank, Hamdan Street, Muraijeb Tower,#208 - Abu Dhabi"
M1060,✔,✔,✔,✔,✔,✔,✖,✖,HEALTH & STYLE MEDICAL CENTRE -L L C,Health & Style Medical Centre - مركز الصحة والتجميل الطبى,ABU DHABI,MEDICAL CENTER,-,02-6330515,Hamdan Street,"Office # M204, ADCB Building, Hamdan Street, Abu Dhabi, UAE"
M1119,✔,✔,✔,✔,✔,✔,✖,✖,ICON CLINIC LLC,Icon Clinic Primary Health Care Center,ABU DHABI,MEDICAL CENTER,-,02-551669,Al Nahyan Camp,"Plaza 30 Building, 9-B Ground Floor, 80 Al Meel Street,Al Nahyan Camp, ABU DHABI"
M1184,✔,✔,✔,✔,✔,✔,✖,✖,IVORY MEDICAL CENTER - SOLE PROPRIETORSHIP LLC,Ivory Medical Center - مركز أيفوري الطبي,ABU DHABI,MEDICAL CENTER,Trust Vision Investment L.L.C,03-7550044,Al Masudi,"Al Masudi, Manazif, Sheikh Muhammad Muslim Salem Muslim bin Ham, Al Masudi, ABU DHABI"
M1099,✔,✔,✔,✔,✔,✔,✔,✔,KHYBER MEDICAL CENTRE,Khyber Clinic,ABU DHABI,MEDICAL CENTER,-,02-8847654,AL DAFRA REGION,"ANJAZ BUILDING , NEAR EMIRATE TRANSPORT, MADINATZAYED; AL DAFRA REGION, SANAYA, ABU DHABI"
M754,✔,✔,✔,✔,✔,✔,✖,✖,LAHORE MEDICAL CENTRE,Lahore Medical Centre,ABU DHABI,MEDICAL CENTER,ZIA MEDICAL GROUP,02-6213435,Electra,"Alya Pharmacy Building, First Floor Near Alam Super Market , Electra Road, ABU DHABI"
M665,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic - Khalifa City LLC,Mediclinic Khalifa City,ABU DHABI,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,02-8856700,KHALIFA,"#284 Villa, Near Police Station Khalifa Bin Zayed City A Abu Dhabi UAE"
M260,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC AL MAMORA LLC,Mediclinic Al Mamora,ABU DHABI,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,02-6723400,MURUR,"Al Noor Bldg., Al Mamura-Murur Rd., P.O. Box 46713, Abu Dhabi, P.O. Box: 46713"
M219,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic Hospitals - Almusafah Speciality,Mediclinic Al Mussafah,ABU DHABI,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,02-4066874,MUSSAFAH,"Bilal Al Mustafa Al Khaleed Bldg, ME-10, Shabiya, Mussafah, P.O. Box: 48481"
M341,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic Hospitals - Baniyas,Mediclinic Baniyas,ABU DHABI,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,02-5668800,BANIYAS,"Baniyas, P.O. Box: 46713, Auh"
M165,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic Hospitals - Madinat Zayed Speciality,Mediclinic Madinat Zayed,ABU DHABI,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,02-8848883,BIDA ZAYED,"1/F Al Dhafra Bldg., Madinat Zayed St., P.O. Box: 57827"
M1043,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC HOSPITALS L.L.C. (CLINICS) - BRANCH / ABU DHABI POLICE COLLEGE,Mediclinic Al Mamora,ABU DHABI,MEDICAL CENTER,-,02-5668800,MUROOR ST,"INSIDE ABU DHABI POLICE COLLEGE MUROOR STREET, ABU DHABI, P.O. Box:46713"
M1042,✔,✔,✔,✔,✔,✔,✖,✖,MEDLINK MEDICAL CENTRE,Medlink Medical Center,ABU DHABI,MEDICAL CENTER,-,02-6783072,Air Port Road,"Saeed Hamed Al Hamly Building, Near Akhter Super Market, Air Port Road, Abu Dhabi, P.O. Box:60830"
M899,✔,✔,✔,✔,✔,✔,✖,✖,NEW LOOK MEDICAL CENTER L.L.C.,New Look Medical Center,ABU DHABI,MEDICAL CENTER,Trust Vision Investment L.L.C,02-6333361,Al Muroor Street,"Al Muroor Street  , P.O. Box:88370, ABU DHABI - UAE"
M755,✔,✔,✔,✔,✔,✔,✖,✖,Peshawar Medical Centre,Peshawar Medical Centre & Lahore Pharmacy,ABU DHABI,MEDICAL CENTER,ZIA MEDICAL GROUP,02-5508987,Mussafah,"In front of ICAD gate # 2 near pathan taxi stand , Sector # 40 Sanaiya"
M1019,✔,✔,✔,✔,✔,✔,✖,✖,SWAT MEDICAL POLY CLINIC,Swat Medical And Dental Center,ABU DHABI,MEDICAL CENTER,ZIA MEDICAL GROUP,02-5550038,sanaiya,"Sanaiya 40 , P.O. Box:13111 , ABU DHABI"
A137,✔,✔,✔,✔,✖,✖,✖,✖,TALAT MEDICAL CENTER,Talat Medical Centre ( Tmc ) مركز طلعت الطبي,ABU DHABI,MEDICAL CENTER,Trust Vision Investment L.L.C,02-6426545,PASSPORT,"Old Passport Road, P.O. Box: 25339"
A191,✔,✔,✔,✔,✔,✔,✖,✖,ZIA MEDICAL CENTER,Zia Medical Center,ABU DHABI,MEDICAL CENTER,ZIA MEDICAL GROUP,02-5522201,MUSAFFAH,"In front of bridge (Shabiya Khalifa), New Mussafah Sector 12, Bldg.#104, P.O. Box: 13111"
H031,✔,✔,✔,✔,✔,✖,✖,✖,AJMAN SPECIALITY GENERAL HOSPITAL,Ajman Specialty General Hospital,AJMAN,HOSPITAL,AJMAN SPECIALTY HOSPITAL,06-7484999,NEW INDUSTRIAL ZONE,"Hamidiya Road, next to Irani Market, P.O. Box: 18333 Ajman"
H148,✔,✔,✔,✔,✔,✖,✖,✖,AMINA HOSPITAL LLC,Amina Hospital,AJMAN,HOSPITAL,ANGLO ARABIAN HEALTHCARE,06-7114444,AL QUDS,"Behind Dreamsea Discoutn centre, Shaik Rashid Bin Humeed street, Al QUDS, AJMAN, P.O. Box:5625"
H143,✔,✔,✔,✔,✔,✖,✖,✖,"THUMBAY UNIVERSITY HOSPITAL COMPLEX LLC (HOSPITAL, DENTAL & PT)",Thumbay University Hospital,AJMAN,HOSPITAL,THUMBAY GROUP,06-7147555,AL JURF,"THUMBAY MEDICITY,UNIVERSITY STREET, BEHIND SHEIKH KHALIFA HOSPITAL,AL JURF,AJMAN"
OTH188,✔,✔,✔,✔,✔,✖,✖,✖,AL DURRA DENTAL CLINIC,Al Durra Dental Clinic Ajman عيادة الدرة لطب الأسنان عجمان,AJMAN,MEDICAL CENTER,-,06-7313544,AL JURF,"LEWARA , BLOCK A, FLAT NO 105, LEWARA BULDING NEAR CHARITY SCHOOL , AL JURF"
M1063,✔,✔,✔,✔,✔,✖,✖,✖,CLASSIC DENTAL CLINIC LLC,عياده كلاسيك للأسنان,AJMAN,MEDICAL CENTER,-,06-5423494,INDUSTIRAL AREA,"INDUSTIRAL AREA, AJMAN GATE TOWER, DOOR 1008, AJMAN"
M809,✔,✔,✔,✔,✔,✖,✖,✖,DENTCARE MEDICAL CENTER,Dent Care Medical Center,AJMAN,MEDICAL CENTER,-,06-7478910,Rashediya 3,"ANDALUS 2, FLAT NO. 501 & 504, Sheikh Khalifa Street, Rashediya 3, P.O. Box:5770"
OTH248,✔,✔,✔,✔,✔,✖,✖,✖,HALA DENTAL CLINIC LLC,Hala Dental Clinic Llc,AJMAN,MEDICAL CENTER,-,06-5423494,ajman,"AJMAN GATE TOWER  1008,INDUSTRIAL  AREA 2 AJMAN"
M837,✔,✔,✔,✔,✔,✖,✖,✖,MARYAM DENTAL CENTRE,Mariyam Dental Centre,AJMAN,MEDICAL CENTER,-,06-7445696,Al sawani,"Flat no.203 Ibrahim Khalifa AlSaeedi BuildingAl sawani, Ajman, United Arab Emirates"
M851,✔,✔,✔,✔,✔,✖,✖,✖,THIQA DENTAL CLINIC LLC,Thiqa Dental Clinic L.L.C عيادة ثقة للأسنان ذ.م.م,AJMAN,MEDICAL CENTER,-,06-7467020,AlRumailah3,"Ajman, Alrumailah3, sh.Rashid Bin Humaid st, Alshorofa 1 bldg, office 108"
M1138,✔,✔,✔,✔,✔,✔,✖,✖,AALIYAH  MEDICAL CENTRE LLC,Aaliya Medical Center,AJMAN,MEDICAL CENTER,ANGLO ARABIAN HEALTHCARE,06-7475599,AL BUSTAN,"City Mart Building, Opp. Kuwait Hospital,Al Bustan, Ajman"
M838,✔,✔,✔,✔,✔,✔,✖,✖,ABDUL AZIZ MEDICAL CENTER,Abdul Aziz Medical Center,AJMAN,MEDICAL CENTER,-,06-7310722,Al Hamadiya,"Al Salam Building,Floor F ,Office No.5 Sheikh Maktoum Bin Rashid Street Al Hamadiya P.O.Box 25671 Ajman-UAE"
M426,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS MEDICAL CENTRE,Access Medical Center Ajman,AJMAN,MEDICAL CENTER,DM HEALTHCARE LLC,06-7404778,INDUSTRIAL AREA 1,"Ajman, P.O. Box: 8703 Dubai"
M264,✔,✔,✔,✔,✔,✖,✖,✖,AJMAN MEDICAL CENTRE,Ajman Medical Center,AJMAN,MEDICAL CENTER,-,06-7430088,MOEHAT STREET,"Al Zahra Bldg., Moehat Street, P.O. Box 22399, Ajman, P.O. Box: 22399, Auh"
M812,✔,✔,✔,✔,✔,✖,✖,✖,AL AIN MEDICAL CENTER,Al Ain Medical Center,AJMAN,MEDICAL CENTER,-,06-7406661,AL NAUMIYA,"Flat No-102-Alain super Market Building,Hafiz Ibrahim Street,Al Naumiya,Ajman"
